timestamp,occupation,status,domain,count
2020-04-01,Clerical and data entry,new,es,5
2020-04-01,Clerical and data entry,new,ph,63
2020-04-01,Clerical and data entry,new,ru,8
2020-04-01,Creative and multimedia,new,es,59
2020-04-01,Creative and multimedia,new,ph,31
2020-04-01,Creative and multimedia,new,ru,152
2020-04-01,Professional services,new,es,1
2020-04-01,Professional services,new,ru,7
2020-04-01,Sales and marketing support,new,es,9
2020-04-01,Sales and marketing support,new,ph,131
2020-04-01,Sales and marketing support,new,ru,53
2020-04-01,Software development and technology,new,es,182
2020-04-01,Software development and technology,new,ph,8
2020-04-01,Software development and technology,new,ru,253
2020-04-01,Writing and translation,new,es,22
2020-04-01,Writing and translation,new,ph,25
2020-04-01,Writing and translation,new,ru,43
2020-04-02,Clerical and data entry,new,es,11
2020-04-02,Clerical and data entry,new,ph,69
2020-04-02,Clerical and data entry,new,ru,14
2020-04-02,Creative and multimedia,new,es,53
2020-04-02,Creative and multimedia,new,ph,27
2020-04-02,Creative and multimedia,new,ru,163
2020-04-02,Professional services,new,es,1
2020-04-02,Professional services,new,ru,19
2020-04-02,Sales and marketing support,new,es,13
2020-04-02,Sales and marketing support,new,ph,120
2020-04-02,Sales and marketing support,new,ru,53
2020-04-02,Software development and technology,new,es,148
2020-04-02,Software development and technology,new,ph,7
2020-04-02,Software development and technology,new,ru,260
2020-04-02,Writing and translation,new,es,30
2020-04-02,Writing and translation,new,ph,31
2020-04-02,Writing and translation,new,ru,36
2020-04-03,Clerical and data entry,new,es,5
2020-04-03,Clerical and data entry,new,ph,105
2020-04-03,Clerical and data entry,new,ru,21
2020-04-03,Creative and multimedia,new,es,54
2020-04-03,Creative and multimedia,new,ph,37
2020-04-03,Creative and multimedia,new,ru,147
2020-04-03,Professional services,new,es,1
2020-04-03,Professional services,new,ru,13
2020-04-03,Sales and marketing support,new,es,7
2020-04-03,Sales and marketing support,new,ph,165
2020-04-03,Sales and marketing support,new,ru,63
2020-04-03,Software development and technology,new,es,173
2020-04-03,Software development and technology,new,ph,6
2020-04-03,Software development and technology,new,ru,257
2020-04-03,Writing and translation,new,es,24
2020-04-03,Writing and translation,new,ph,32
2020-04-03,Writing and translation,new,ru,33
2020-04-04,Clerical and data entry,new,es,9
2020-04-04,Clerical and data entry,new,ph,72
2020-04-04,Clerical and data entry,new,ru,8
2020-04-04,Creative and multimedia,new,es,52
2020-04-04,Creative and multimedia,new,ph,31
2020-04-04,Creative and multimedia,new,ru,137
2020-04-04,Professional services,new,ru,12
2020-04-04,Sales and marketing support,new,es,7
2020-04-04,Sales and marketing support,new,ph,118
2020-04-04,Sales and marketing support,new,ru,60
2020-04-04,Software development and technology,new,es,179
2020-04-04,Software development and technology,new,ph,3
2020-04-04,Software development and technology,new,ru,222
2020-04-04,Writing and translation,new,es,25
2020-04-04,Writing and translation,new,ph,29
2020-04-04,Writing and translation,new,ru,44
2020-04-05,Clerical and data entry,new,es,6
2020-04-05,Clerical and data entry,new,ph,32
2020-04-05,Clerical and data entry,new,ru,8
2020-04-05,Creative and multimedia,new,es,57
2020-04-05,Creative and multimedia,new,ph,18
2020-04-05,Creative and multimedia,new,ru,123
2020-04-05,Professional services,new,ru,16
2020-04-05,Sales and marketing support,new,es,8
2020-04-05,Sales and marketing support,new,ph,57
2020-04-05,Sales and marketing support,new,ru,58
2020-04-05,Software development and technology,new,es,147
2020-04-05,Software development and technology,new,ph,2
2020-04-05,Software development and technology,new,ru,188
2020-04-05,Writing and translation,new,es,24
2020-04-05,Writing and translation,new,ph,12
2020-04-05,Writing and translation,new,ru,24
2020-04-06,Clerical and data entry,new,es,5
2020-04-06,Clerical and data entry,new,ph,67
2020-04-06,Clerical and data entry,new,ru,8
2020-04-06,Creative and multimedia,new,es,51
2020-04-06,Creative and multimedia,new,ph,34
2020-04-06,Creative and multimedia,new,ru,92
2020-04-06,Professional services,new,ru,9
2020-04-06,Sales and marketing support,new,es,4
2020-04-06,Sales and marketing support,new,ph,89
2020-04-06,Sales and marketing support,new,ru,44
2020-04-06,Software development and technology,new,es,150
2020-04-06,Software development and technology,new,ph,7
2020-04-06,Software development and technology,new,ru,172
2020-04-06,Writing and translation,new,es,18
2020-04-06,Writing and translation,new,ph,15
2020-04-06,Writing and translation,new,ru,22
2020-04-07,Clerical and data entry,new,es,8
2020-04-07,Clerical and data entry,new,ph,66
2020-04-07,Clerical and data entry,new,ru,7
2020-04-07,Creative and multimedia,new,es,48
2020-04-07,Creative and multimedia,new,ph,19
2020-04-07,Creative and multimedia,new,ru,168
2020-04-07,Professional services,new,es,2
2020-04-07,Professional services,new,ru,20
2020-04-07,Sales and marketing support,new,es,6
2020-04-07,Sales and marketing support,new,ph,96
2020-04-07,Sales and marketing support,new,ru,62
2020-04-07,Software development and technology,new,es,154
2020-04-07,Software development and technology,new,ph,7
2020-04-07,Software development and technology,new,ru,275
2020-04-07,Writing and translation,new,es,23
2020-04-07,Writing and translation,new,ph,18
2020-04-07,Writing and translation,new,ru,47
2020-04-08,Clerical and data entry,new,es,8
2020-04-08,Clerical and data entry,new,ph,62
2020-04-08,Clerical and data entry,new,ru,14
2020-04-08,Creative and multimedia,new,es,60
2020-04-08,Creative and multimedia,new,ph,42
2020-04-08,Creative and multimedia,new,ru,163
2020-04-08,Professional services,new,es,1
2020-04-08,Professional services,new,ru,17
2020-04-08,Sales and marketing support,new,es,5
2020-04-08,Sales and marketing support,new,ph,154
2020-04-08,Sales and marketing support,new,ru,56
2020-04-08,Software development and technology,new,es,169
2020-04-08,Software development and technology,new,ph,8
2020-04-08,Software development and technology,new,ru,269
2020-04-08,Writing and translation,new,es,22
2020-04-08,Writing and translation,new,ph,34
2020-04-08,Writing and translation,new,ru,39
2020-04-09,Clerical and data entry,new,es,9
2020-04-09,Clerical and data entry,new,ph,89
2020-04-09,Clerical and data entry,new,ru,9
2020-04-09,Creative and multimedia,new,es,44
2020-04-09,Creative and multimedia,new,ph,34
2020-04-09,Creative and multimedia,new,ru,179
2020-04-09,Professional services,new,es,1
2020-04-09,Professional services,new,ru,21
2020-04-09,Sales and marketing support,new,es,8
2020-04-09,Sales and marketing support,new,ph,181
2020-04-09,Sales and marketing support,new,ru,67
2020-04-09,Software development and technology,new,es,141
2020-04-09,Software development and technology,new,ph,13
2020-04-09,Software development and technology,new,ru,265
2020-04-09,Writing and translation,new,es,20
2020-04-09,Writing and translation,new,ph,37
2020-04-09,Writing and translation,new,ru,55
2020-04-10,Clerical and data entry,new,es,11
2020-04-10,Clerical and data entry,new,ph,57
2020-04-10,Clerical and data entry,new,ru,6
2020-04-10,Creative and multimedia,new,es,60
2020-04-10,Creative and multimedia,new,ph,24
