indicator,iso3,year,value
SL.IND.EMPL.ZS,EGY,2024,29.213
SL.IND.EMPL.ZS,EGY,2023,29.199
SL.IND.EMPL.ZS,EGY,2022,28.642
SL.IND.EMPL.ZS,EGY,2021,28.355
SL.IND.EMPL.ZS,EGY,2020,28.496
SL.IND.EMPL.ZS,EGY,2019,28.606
SL.IND.EMPL.ZS,EGY,2018,26.859
SL.IND.EMPL.ZS,EGY,2017,26.557
SL.IND.EMPL.ZS,EGY,2016,25.503
SL.IND.EMPL.ZS,EGY,2015,25.311
SL.IND.EMPL.ZS,EGY,2014,24.689
SL.IND.EMPL.ZS,EGY,2013,24.385
SL.IND.EMPL.ZS,EGY,2012,25.111
SL.IND.EMPL.ZS,EGY,2011,23.832
SL.IND.EMPL.ZS,EGY,2010,25.674
SL.IND.EMPL.ZS,EGY,2009,23.980
SL.IND.EMPL.ZS,EGY,2008,23.125
SL.IND.EMPL.ZS,EGY,2007,22.629
SL.IND.EMPL.ZS,EGY,2006,22.605
SL.IND.EMPL.ZS,EGY,2005,22.019
SL.IND.EMPL.ZS,EGY,2004,20.467
SL.IND.EMPL.ZS,EGY,2003,20.291
SL.IND.EMPL.ZS,EGY,2002,21.172
SL.IND.EMPL.ZS,EGY,2001,21.855
SL.IND.EMPL.ZS,EGY,2000,21.858
SL.IND.EMPL.ZS,EGY,1999,23.186
SL.IND.EMPL.ZS,EGY,1998,22.864
SL.IND.EMPL.ZS,EGY,1997,22.917
SL.IND.EMPL.ZS,EGY,1996,24.192
SL.IND.EMPL.ZS,EGY,1995,22.499
SL.IND.EMPL.ZS,ETH,2024,6.416
SL.IND.EMPL.ZS,ETH,2023,6.361
SL.IND.EMPL.ZS,ETH,2022,6.326
SL.IND.EMPL.ZS,ETH,2021,6.307
SL.IND.EMPL.ZS,ETH,2020,6.626
SL.IND.EMPL.ZS,ETH,2019,6.890
SL.IND.EMPL.ZS,ETH,2018,7.147
SL.IND.EMPL.ZS,ETH,2017,7.392
SL.IND.EMPL.ZS,ETH,2016,7.641
SL.IND.EMPL.ZS,ETH,2015,7.878
SL.IND.EMPL.ZS,ETH,2014,8.144
SL.IND.EMPL.ZS,ETH,2013,8.409
SL.IND.EMPL.ZS,ETH,2012,8.241
SL.IND.EMPL.ZS,ETH,2011,8.104
SL.IND.EMPL.ZS,ETH,2010,7.938
SL.IND.EMPL.ZS,ETH,2009,7.779
SL.IND.EMPL.ZS,ETH,2008,7.672
SL.IND.EMPL.ZS,ETH,2007,7.569
SL.IND.EMPL.ZS,ETH,2006,7.458
SL.IND.EMPL.ZS,ETH,2005,7.362
SL.IND.EMPL.ZS,ETH,2004,7.198
SL.IND.EMPL.ZS,ETH,2003,7.007
SL.IND.EMPL.ZS,ETH,2002,6.902
SL.IND.EMPL.ZS,ETH,2001,6.778
SL.IND.EMPL.ZS,ETH,2000,6.632
SL.IND.EMPL.ZS,ETH,1999,6.517
SL.IND.EMPL.ZS,ETH,1998,6.505
SL.IND.EMPL.ZS,ETH,1997,6.531
SL.IND.EMPL.ZS,ETH,1996,6.547
SL.IND.EMPL.ZS,ETH,1995,6.543
SL.IND.EMPL.ZS,GHA,2024,17.880
SL.IND.EMPL.ZS,GHA,2023,17.635
SL.IND.EMPL.ZS,GHA,2022,17.708
SL.IND.EMPL.ZS,GHA,2021,14.380
SL.IND.EMPL.ZS,GHA,2020,15.208
SL.IND.EMPL.ZS,GHA,2019,16.079
SL.IND.EMPL.ZS,GHA,2018,16.773
SL.IND.EMPL.ZS,GHA,2017,17.504
SL.IND.EMPL.ZS,GHA,2016,17.291
SL.IND.EMPL.ZS,GHA,2015,17.351
SL.IND.EMPL.ZS,GHA,2014,17.411
SL.IND.EMPL.ZS,GHA,2013,17.418
SL.IND.EMPL.ZS,GHA,2012,16.745
SL.IND.EMPL.ZS,GHA,2011,16.147
SL.IND.EMPL.ZS,GHA,2010,15.163
SL.IND.EMPL.ZS,GHA,2009,14.800
SL.IND.EMPL.ZS,GHA,2008,14.620
SL.IND.EMPL.ZS,GHA,2007,14.116
SL.IND.EMPL.ZS,GHA,2006,13.984
SL.IND.EMPL.ZS,GHA,2005,13.833
SL.IND.EMPL.ZS,GHA,2004,13.619
SL.IND.EMPL.ZS,GHA,2003,13.453
SL.IND.EMPL.ZS,GHA,2002,13.319
SL.IND.EMPL.ZS,GHA,2001,13.234
SL.IND.EMPL.ZS,GHA,2000,13.186
SL.IND.EMPL.ZS,GHA,1999,12.847
SL.IND.EMPL.ZS,GHA,1998,12.297
SL.IND.EMPL.ZS,GHA,1997,11.749
SL.IND.EMPL.ZS,GHA,1996,11.222
SL.IND.EMPL.ZS,GHA,1995,10.716
SL.IND.EMPL.ZS,KEN,2024,12.315
SL.IND.EMPL.ZS,KEN,2023,12.160
SL.IND.EMPL.ZS,KEN,2022,11.955
SL.IND.EMPL.ZS,KEN,2021,11.348
SL.IND.EMPL.ZS,KEN,2020,11.295
SL.IND.EMPL.ZS,KEN,2019,11.373
SL.IND.EMPL.ZS,KEN,2018,11.149
SL.IND.EMPL.ZS,KEN,2017,10.793
SL.IND.EMPL.ZS,KEN,2016,10.615
SL.IND.EMPL.ZS,KEN,2015,10.433
SL.IND.EMPL.ZS,KEN,2014,10.218
SL.IND.EMPL.ZS,KEN,2013,10.002
SL.IND.EMPL.ZS,KEN,2012,9.901
SL.IND.EMPL.ZS,KEN,2011,9.772
SL.IND.EMPL.ZS,KEN,2010,9.641
SL.IND.EMPL.ZS,KEN,2009,9.360
SL.IND.EMPL.ZS,KEN,2008,9.422
SL.IND.EMPL.ZS,KEN,2007,9.666
SL.IND.EMPL.ZS,KEN,2006,9.494
