iso3,country,v2015,v2019,v2021,v2022,v2024,cagr_15_21,cagr_21_24
EGY,Egypt,809.9,836.4,1399.43,1655.4,1711.8,9.543504357153253,6.946673514065904
ETH,Ethiopia,97.0,132.0,161.52,151.1,42.59,8.870218685051846,-35.875039385092364
GHA,Ghana,,103.0,118.0,214.0,131.0,,3.545150286326959
KEN,Kenya,550.0,629.0,973.33,1041.12,853.4,9.980638493581594,-4.288488147670133
NGA,Nigeria,77.0,212.0,169.0,263.0,184.0,13.998550663201481,2.875124261363915
RWA,Rwanda,22.0,20.0,27.82,26.38,34.45,3.9894004132866367,7.385101886215817
SEN,Senegal,274.0,156.0,160.0,197.0,,-8.575715541641959,
TZA,Tanzania,51.0,29.0,24.0,42.0,69.0,-11.805769039826608,42.19334899257827
UGA,Uganda,65.0,28.0,42.0,40.0,48.0,-7.020047005381724,4.551591714942038
ZAF,South Africa,549.0,691.0,827.0,944.0,1527.0,7.0669737524321485,22.681151169952972
