soc_major,major_label,n,beta_gpt4,beta_human,jobzone
15,Computer and mathematical,36,0.7445983585632598,0.5990201439286984,4.0
43,Office and administrative support,51,0.6078626117291216,0.48456582680357246,2.3333333333333335
13,Business and financial operations,48,0.5281979222277008,0.5173801500912129,3.8333333333333335
17,Architecture and engineering,56,0.49376520479974406,0.42463620499756416,3.7857142857142856
23,Legal,7,0.4936195167722261,0.41342412553281765,4.285714285714286
27,"Arts, design, entertainment, sports and media",40,0.4697012797519823,0.37537661792799826,3.45
11,Management,56,0.4643693529690471,0.43704425672903524,3.892857142857143
19,"Life, physical and social science",60,0.4640979053114503,0.4887151821406478,4.3
41,Sales and related,22,0.46008708247939506,0.4924552117022198,2.8181818181818183
25,Educational instruction and library,62,0.43456989046369915,0.41983237983944055,4.564516129032258
29,Healthcare practitioners and technical,89,0.3420806338139523,0.2811341992393097,4.269662921348314
21,Community and social service,14,0.31998497918743557,0.36156777789960454,4.5
33,Protective service,26,0.2868578371656175,0.2800342339592642,2.6153846153846154
31,Healthcare support,19,0.24057503007795744,0.1338839916690202,2.526315789473684
53,Transportation and material moving,52,0.2162234899699851,0.16008097912558822,2.25
39,Personal care and service,31,0.20410795604629353,0.2266736025132991,2.3870967741935485
35,Food preparation and serving,16,0.1372334424513498,0.1319858468376382,1.8125
49,"Installation, maintenance and repair",50,0.1351538138889763,0.09909723011954359,2.62
51,Production,107,0.1301998078106522,0.07726040706370317,2.1121495327102804
45,"Farming, fishing and forestry",12,0.13008387136319055,0.09535471738882777,1.5833333333333333
37,Building and grounds cleaning and maintenance,8,0.12634662327606574,0.11965574616764661,2.0
47,Construction and extraction,61,0.06944439303794392,0.052623349495875646,2.0491803278688523
