iso3,country,group,peak_year,peak_manf,gdppc_at_peak,latest_year,latest_manf,decline
SEN,Senegal,Africa,2002,21.586895139585,3075.232,2024,14.2223141039377,7.3645810356473
ZAF,South Africa,Africa,1995,21.2467296668225,10318.839,2024,12.7973009661441,8.4494287006784
UGA,Uganda,Africa,2009,20.0778457884048,2188.299,2024,15.1091911678522,4.9686546205526
NGA,Nigeria,Africa,1995,19.9937155656229,4797.512,2024,8.65727818023026,11.336437385392639
EGY,Egypt,Africa,2002,18.4967537608868,10143.506,2024,13.8934615296088,4.603292231278001
KEN,Kenya,Africa,2007,12.7904398588978,4116.451,2024,7.29301063096746,5.49742922793034
RWA,Rwanda,Africa,1997,12.0365394000344,907.981,2024,8.12432309976712,3.9122163002672803
GHA,Ghana,Africa,2013,11.5885474629749,5593.775,2024,10.5715045941892,1.0170428687856994
TZA,Tanzania,Africa,1998,11.0711735721478,1773.724,2023,8.39851072327136,2.67266284887644
ETH,Ethiopia,Africa,1997,7.12335673765681,826.005,2024,4.39391406309022,2.72944267456659
CHN,China,Comparator,2006,31.995,7057.111,2024,24.842,7.153000000000002
MYS,Malaysia,Comparator,1999,30.936,17428.626,2024,22.5,8.436
KOR,"Korea, Rep.",Comparator,2011,29.001,40719.227,2024,26.618,2.3830000000000027
VNM,Viet Nam,Comparator,2022,24.656,12979.764,2024,24.333,0.3230000000000004
BGD,Bangladesh,Comparator,2024,21.893,8486.785,2024,21.893,0.0
IND,India,Comparator,1995,17.866,2469.352,2024,13.139,4.727
